;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
P_10;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,128;0,161224;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
P_15;0,083493;0,091247;0,090265;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,115466;0,095725;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
P_20;0,067747;0,064823;0,064506;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,066265;0,074024;0,066866;0,069628;0,069353;0,2;0,2;0,2;0,073613;0,07017;0,075397;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,075232;0,068605;0,077102;0,2;0,2;0,2;0,074024;0,080199;0,2;0,2;0,2;0,2
P_25;0,2;0,2;0,2;0,2;0,2;0,061588;0,056128;0,049293;0,054809;0,053974;0,056437;0,2;0,2;0,053974;0,056283;0,056993;0,060033;0,061712;0,056283;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,051262;0,056842;0,053184;0,055072;0,058362;0,062857;0,2;0,06252;0,062058;0,063636;0,2;0,2;0,2
P_30;0,042353;0,2;0,2;0,045514;0,2;0,043056;0,045514;0,042353;0,051823;0,2;0,045033;0,044643;0,049699;0,048033;0,044395;0,052652;0,047479;0,044889;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,049087;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
P_35;0,037895;0,03812;0,039186;0,038875;0,041805;0,038875;0,038342;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,041627;0,040394;0,038342;0,2;0,2;0,2;0,2;0,2;0,2;0,041162;0,042791;0,04208;0,048247;0,042791;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,046809;0,039186;0,0399;0,041162;0,041627;0,045752
P_40;0,033333;0,2;0,034203;0,032727;0,035393;0,03812;0,037333;0,036512;0,037097;0,036757;0,033918;0,033333;0,035655;0,037097;0,2;0,032198;0,033033;0,035127;0,035393;0,035393;0,037097;0,038875;0,033918;0,033918;0,03812;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,035912;0,037895;0,039186;0,034857;0,033033;0,2;0,03866;0,037566;0,039186;0,037097;0,038875;0,036757;0,03812;0,0399;0,03812;0,040394;0,041162
P_45;0,035393;0,030263;0,032416;0,031875;0,03121;0,034203;0,031546;0,0299;0,02953;0,032727;0,0299;0,034203;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,030868;0,02953;0,037895;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,032198;0,03812;0,035655;0,033033;0,035393;0,034203;0,036757;0,030868;0,035127;0,032416;0,032198
P_50;0,030519;0,026316;0,028866;0,030263;0,029252;0,027437;0,027857;0,028866;0,028571;0,03121;0,029252;0,02953;0,030519;0,2;0,03121;0,032727;0,029252;0,030263;0,035655;0,02953;0,030519;0,031546;0,030868;0,2;0,034582;0,031546;0,028866;0,030868;0,0299;0,033333;0,029252;0,035912;0,030868;0,2;0,2;0,039186;0,0299;0,028169;0,0299;0,032416;0,034582;0,030263;0,0299;0,030868;0,033333;0,031546;0,037566;0,028866;0,030263
P_55;0,027437;0,028571;0,026316;0,2;0,2;0,025954;0,026316;0,025954;0,028571;0,025954;0,02439;0,026316;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,025197;0,025954;0,026766;0,0299;0,026316;0,032198;0,027857;0,031875;0,030263;0,028571;0,02953;0,0299;0,027857;0,031875;0,030519;0,025954;0,030519;0,026766;0,026766;0,032727;0,031875;0,0299;0,0299;0,026316;0,0299;0,028866;0,028571;0,027857;0,033033
